date,close,volume,open,high,low
9/22/14,101.06,52421660,101.8,102.14,100.58
9/23/14,102.64,63255860,100.6,102.94,100.54
9/24/14,101.75,59974260,102.16,102.85,101.2
9/25/14,97.87,99689300,100.51,100.71,97.72
9/26/14,100.75,62276770,98.53,100.75,98.4
9/29/14,100.11,49263260,98.65,100.435,98.63
9/30/14,100.75,55119980,100.81,101.54,100.53
10/1/14,99.18,51400260,100.59,100.69,98.7
10/2/14,99.9,47697150,99.27,100.22,98.04
10/3/14,99.62,43419580,99.44,100.21,99.04
10/6/14,99.62,36780620,99.95,100.65,99.42
10/7/14,98.75,42003200,99.43,100.12,98.73
10/8/14,100.8,57329820,98.76,101.11,98.31
10/9/14,101.02,77283330,101.54,102.38,100.61
10/10/14,100.73,66249770,100.69,102.03,100.3
10/13/14,99.81,53437060,101.33,101.78,99.81
10/14/14,98.75,63287170,100.39,100.52,98.57
10/15/14,97.54,99942790,97.97,99.15,95.18
10/16/14,96.26,72017830,95.55,97.72,95.41
10/17/14,97.67,67723910,97.5,99,96.81
10/20/14,99.76,75705040,98.315,99.96,98.22
10/21/14,102.47,93786680,103.02,103.02,101.27
10/22/14,102.99,68140010,102.84,104.11,102.6
10/23/14,104.83,70760150,104.08,105.051,103.63
10/24/14,105.22,46937880,105.18,105.49,104.53
10/27/14,105.11,34086120,104.85,105.48,104.7
10/28/14,106.74,47689070,105.4,106.74,105.35
10/29/14,107.34,52545580,106.65,107.37,106.36
10/30/14,106.98,40572000,106.959,107.35,105.9
10/31/14,108,44550790,108.01,108.04,107.21
11/3/14,109.4,52154490,108.22,110.3,108.01
11/4/14,108.6,41423660,109.36,109.49,107.72
11/5/14,108.86,37365530,109.1,109.3,108.125
11/6/14,108.7,34733740,108.6,108.79,107.8
11/7/14,109.01,33655280,108.75,109.32,108.55
11/10/14,108.83,27066060,109.02,109.33,108.67
11/11/14,109.7,27330410,108.7,109.75,108.4
11/12/14,111.25,46372630,109.38,111.43,109.37
11/13/14,112.82,59418180,111.8,113.45,111.6
11/14/14,114.18,43789060,113.15,114.19,113.05
11/17/14,113.99,46687710,114.27,117.28,113.3
11/18/14,115.47,44163250,113.94,115.69,113.89
11/19/14,114.67,41815550,115.44,115.74,113.8
11/20/14,116.31,43148650,114.91,116.86,114.85
11/21/14,116.47,56759320,117.51,117.57,116.03
11/24/14,118.625,46867340,116.85,118.77,116.62
11/25/14,117.6,68719930,119.07,119.75,117.45
11/26/14,119,40756950,117.94,119.1,117.83
11/28/14,118.93,24814400,119.27,119.4,118.05
12/1/14,115.07,83657780,118.81,119.25,111.27
12/2/14,114.63,59205320,113.5,115.75,112.75
12/3/14,115.93,42956200,115.75,116.35,115.11
12/4/14,115.49,42068020,115.77,117.2,115.29
12/5/14,115,38230970,115.99,116.08,114.64
12/8/14,112.4,57445030,114.1,114.648,111.62
12/9/14,114.12,60112240,110.19,114.3,109.35
12/10/14,111.95,44475360,114.41,114.85,111.54
12/11/14,111.62,41404690,112.26,113.8,111.34
12/12/14,109.73,55873820,110.46,111.87,109.58
12/15/14,108.225,67083260,110.7,111.6,106.35
12/16/14,106.745,60651790,106.37,110.16,106.26
12/17/14,109.41,53265930,107.12,109.84,106.82
12/18/14,112.65,58785590,111.87,112.65,110.66
12/19/14,111.78,86595830,112.26,113.24,111.66
12/22/14,112.94,45097060,112.16,113.49,111.97
12/23/14,112.54,25991030,113.23,113.33,112.46
12/24/14,112.01,14479610,112.58,112.71,112.01
12/26/14,113.99,33681200,112.1,114.52,112.01
12/29/14,113.91,27533430,113.79,114.77,113.7
12/30/14,112.52,29798660,113.64,113.92,112.11
12/31/14,110.38,41304780,112.82,113.13,110.21
1/2/15,109.33,53143770,111.39,111.44,107.35
1/5/15,106.25,64210880,108.29,108.65,105.41
1/6/15,106.26,65682250,106.54,107.43,104.63
1/7/15,107.75,39983350,107.2,108.2,106.695
1/8/15,111.89,59168760,109.23,112.15,108.7
1/9/15,112.01,53645730,112.67,113.25,110.21
1/12/15,109.25,49571170,112.6,112.63,108.8
1/13/15,110.22,66969980,111.43,112.8,108.91
1/14/15,109.8,48728190,109.04,110.49,108.5
1/15/15,106.82,59808470,110,110.06,106.66
1/16/15,105.99,78453330,107.03,107.58,105.2
1/20/15,108.72,49742320,107.84,108.9667,106.5
1/21/15,109.55,48482860,108.95,111.06,108.27
1/22/15,112.4,53717440,110.26,112.47,109.72
1/23/15,112.98,46420020,112.3,113.75,111.53
1/26/15,113.1,55457420,113.74,114.3626,112.8
1/27/15,109.14,92326640,112.42,112.48,109.03
1/28/15,115.31,146184300,117.625,118.12,115.31
1/29/15,118.9,84132130,116.32,119.19,115.56
1/30/15,117.16,83646800,118.4,120,116.85
2/2/15,118.63,62542440,118.05,119.17,116.08
2/3/15,118.65,51842080,118.5,119.09,117.61
2/4/15,119.56,69975180,118.5,120.51,118.309
2/5/15,119.94,42197110,120.02,120.23,119.25
2/6/15,118.93,43633660,120.02,120.25,118.45
2/9/15,119.72,37900780,118.55,119.84,118.43
2/10/15,122.02,61845390,120.17,122.15,120.16
2/11/15,124.88,73278020,122.77,124.92,122.5
